"cdlinhaitinerario","cdlinha","cdlinhasituacao"
34,50,2
48,73,2
84,133,2
87,136,2
98,152,2
99,153,2
50,75,3
51,76,3
56,92,3
62,104,3
63,105,3
64,108,3
77,124,3
79,127,3
85,134,3
88,137,3
89,138,3
90,141,3
91,143,3
92,144,3
93,145,3
94,146,3
4,7,3
12,17,3
13,18,3
14,19,3
15,20,3
2,3,3
3,5,3
16,23,3
25,37,3
33,45,3
58,99,3
66,110,3
67,111,3
68,112,3
69,113,3
70,114,3
75,120,3
71,115,3
72,116,3
73,118,3
74,119,3
76,121,3
80,128,3
81,130,3
82,131,3
83,132,3
5,8,3
37,59,3
41,66,3
40,65,3
9,13,3
11,15,3
10,14,3
30,42,3
31,43,3
26,38,3
27,39,3
28,40,3
29,41,3
60,102,3
61,103,3
44,69,3
45,70,3
46,71,3
47,72,3
49,74,3
52,83,3
100,154,3
101,155,3
102,160,3
103,164,3
53,84,3
43,68,3
54,89,3
55,91,3
21,30,3
23,32,3
24,33,3
22,31,3
1,2,3
17,24,3
18,26,3
19,27,3
20,28,3
32,44,3
96,150,3
97,151,3
104,165,3
106,168,3
105,166,3
107,171,3
38,60,3
39,61,3
36,58,3
6,10,3
57,95,3
78,125,3
59,101,3
35,53,3
114,186,2
125,198,2
128,202,2
156,237,2
173,264,2
174,265,2
203,307,2
204,308,2
206,310,2
207,311,2
211,315,2
118,191,3
120,193,3
119,192,3
117,190,3
123,196,3
121,194,3
122,195,3
126,199,3
127,200,3
132,206,3
133,207,3
135,209,3
134,208,3
160,243,3
167,256,3
168,258,3
169,259,3
170,260,3
171,261,3
172,262,3
175,266,3
176,267,3
177,268,3
178,269,3
198,302,3
199,303,3
200,304,3
202,306,3
162,246,3
161,245,3
185,278,3
186,279,3
187,280,3
192,291,3
129,203,3
130,204,3
165,251,3
166,253,3
179,271,3
180,273,3
181,274,3
182,275,3
183,276,3
184,277,3
188,282,3
190,286,3
209,313,3
210,314,3
146,225,3
154,235,3
155,236,3
157,238,3
158,240,3
159,241,3
163,247,3
164,248,3
137,216,3
138,217,3
139,218,3
142,221,3
143,222,3
144,223,3
140,219,3
150,230,3
151,231,3
152,232,3
153,233,3
124,197,3
195,299,3
136,215,3
148,228,3
149,229,3
194,298,3
108,172,3
109,173,3
110,175,3
111,177,3
112,180,3
113,181,3
193,297,3
197,301,3
213,317,3
115,188,3
214,318,3
205,309,3
145,224,3
196,300,3
212,316,3
147,226,3
191,290,3
233,342,2
254,365,2
262,373,2
284,403,2
318,450,2
243,352,3
245,354,3
244,353,3
246,355,3
247,356,3
248,357,3
249,358,3
253,364,3
255,366,3
257,368,3
258,369,3
260,371,3
261,372,3
300,424,3
305,431,3
303,429,3
304,430,3
306,432,3
307,433,3
308,435,3
309,436,3
310,437,3
311,441,3
312,442,3
252,363,3
264,375,3
266,378,3
268,381,3
265,376,3
294,418,3
295,419,3
296,420,3
297,421,3
313,444,3
314,445,3
315,446,3
316,447,3
319,451,3
320,452,3
321,453,3
240,349,3
259,370,3
289,412,3
290,413,3
298,422,3
241,350,3
317,448,3
274,390,3
276,393,3
277,394,3
275,391,3
288,408,3
291,414,3
218,322,3
278,395,3
279,396,3
280,398,3
281,400,3
283,402,3
286,405,3
287,407,3
301,425,3
302,426,3
270,385,3
271,386,3
272,387,3
273,388,3
219,323,3
220,325,3
221,328,3
292,416,3
293,417,3
217,321,3
215,319,3
222,329,3
225,333,3
226,334,3
223,330,3
224,332,3
227,335,3
228,336,3
230,338,3
231,339,3
234,343,3
237,346,3
238,347,3
239,348,3
235,344,3
236,345,3
232,340,3
250,359,3
251,361,3
263,374,3
216,320,3
282,401,3
285,404,3
357,494,3
359,496,3
424,580,3
425,581,3
348,484,3
349,485,3
340,476,3
337,473,3
346,482,3
354,490,3
417,570,3
418,571,3
419,572,3
420,574,3
365,504,3
427,584,3
323,455,3
325,458,3
326,459,3
426,583,3
324,456,3
328,462,3
329,463,3
327,461,3
331,465,3
332,467,3
333,468,3
336,472,3
338,474,3
339,475,3
347,483,3
356,493,3
360,498,3
361,499,3
362,500,3
363,501,3
364,502,3
421,577,3
422,578,3
423,579,3
428,587,3
376,519,3
378,521,3
379,522,3
380,523,3
382,525,3
383,526,3
384,527,3
385,528,3
355,491,3
386,529,3
387,531,3
322,454,3
388,532,3
330,464,3
389,533,3
377,520,3
391,536,3
392,537,3
393,538,3
394,539,3
395,540,3
396,541,3
398,544,3
399,546,3
400,548,3
401,550,3
402,551,3
403,553,3
407,560,3
408,561,3
409,562,3
410,563,3
390,534,3
405,557,3
406,559,3
368,510,3
369,511,3
370,512,3
371,513,3
372,514,3
412,565,3
413,566,3
415,568,3
416,569,3
414,567,3
367,509,3
373,515,3
374,516,3
375,518,3
335,470,3
341,477,3
342,478,3
343,479,3
344,480,3
345,481,3
351,487,3
352,488,3
353,489,3
366,506,3
429,588,2
469,667,2
471,669,2
503,719,2
522,744,2
529,757,2
533,764,2
443,607,3
444,608,3
463,661,3
467,665,3
468,666,3
470,668,3
483,683,3
484,684,3
485,686,3
492,697,3
493,698,3
494,699,3
491,696,3
495,702,3
504,720,3
505,721,3
509,728,3
510,729,3
526,753,3
530,760,3
531,762,3
532,763,3
534,765,3
535,767,3
466,664,3
486,687,3
502,716,3
525,752,3
437,600,3
438,601,3
439,602,3
440,603,3
441,604,3
479,678,3
481,680,3
480,679,3
519,741,3
430,589,3
431,590,3
472,670,3
474,672,3
515,737,3
516,738,3
517,739,3
518,740,3
528,756,3
511,731,3
512,732,3
513,733,3
514,734,3
520,742,3
521,743,3
445,610,3
447,615,3
446,614,3
448,616,3
449,617,3
450,620,3
451,621,3
452,624,3
453,625,3
454,626,3
455,627,3
457,632,3
475,673,3
476,674,3
506,725,3
507,726,3
508,727,3
460,656,3
461,657,3
462,660,3
464,662,3
465,663,3
496,703,3
497,704,3
498,705,3
499,709,3
458,634,3
459,635,3
501,712,3
487,689,3
473,671,3
477,676,3
482,682,3
488,691,3
489,692,3
436,599,3
478,677,3
432,594,3
435,598,3
434,597,3
433,595,3
500,710,3
538,770,2
573,822,2
589,843,2
602,863,2
614,881,2
615,883,2
621,896,2
539,773,3
540,774,3
537,769,3
542,778,3
541,777,3
543,779,3
565,808,3
546,782,3
568,816,3
585,839,3
634,920,3
560,801,3
561,802,3
640,928,3
576,825,3
577,826,3
599,858,3
641,929,3
600,859,3
642,930,3
603,864,3
619,894,3
626,901,3
627,902,3
628,903,3
629,904,3
567,811,3
616,885,3
617,888,3
618,889,3
578,827,3
580,829,3
581,830,3
579,828,3
586,840,3
588,842,3
587,841,3
590,844,3
591,845,3
592,846,3
544,780,3
553,793,3
558,798,3
562,803,3
563,805,3
572,821,3
574,823,3
575,824,3
595,853,3
605,866,3
606,867,3
607,868,3
609,873,3
620,895,3
622,897,3
635,922,3
636,923,3
637,925,3
638,926,3
559,800,3
598,856,3
608,869,3
610,875,3
639,927,3
611,876,3
612,879,3
613,880,3
547,785,3
548,787,3
549,788,3
550,789,3
551,791,3
552,792,3
554,794,3
555,795,3
556,796,3
557,797,3
545,781,3
633,919,3
582,832,3
584,835,3
631,913,3
632,914,3
566,809,3
569,818,3
570,819,3
596,854,3
597,855,3
623,898,3
624,899,3
583,833,3
625,900,3
604,865,3
593,848,3
719,1070,2
651,945,3
682,1015,3
683,1016,3
684,1017,3
703,1042,3
713,1061,3
715,1064,3
714,1062,3
721,1072,3
729,1084,3
730,1085,3
742,1102,3
671,991,3
672,992,3
643,931,3
669,987,3
646,939,3
647,941,3
648,942,3
649,943,3
700,1038,3
661,972,3
722,1073,3
706,1050,3
707,1051,3
741,1101,3
709,1054,3
693,1030,3
710,1056,3
711,1057,3
652,946,3
653,949,3
660,968,3
702,1041,3
704,1043,3
705,1044,3
731,1086,3
738,1097,3
677,1003,3
678,1004,3
720,1071,3
732,1087,3
737,1096,3
662,979,3
663,980,3
691,1028,3
680,1006,3
655,960,3
664,981,3
665,982,3
668,986,3
679,1005,3
685,1019,3
686,1020,3
701,1039,3
723,1076,3
724,1077,3
712,1058,3
727,1082,3
675,999,3
676,1000,3
694,1031,3
695,1033,3
697,1035,3
698,1036,3
739,1098,3
748,1113,3
658,964,3
674,997,3
734,1093,3
733,1089,3
743,1103,3
744,1104,3
745,1105,3
747,1109,3
746,1106,3
644,936,3
687,1021,3
688,1022,3
666,983,3
667,984,3
736,1095,3
689,1024,3
654,957,3
717,1067,3
718,1068,3
645,937,3
708,1053,3
716,1065,3
725,1079,3
726,1080,3
673,994,3
681,1014,3
657,963,3
699,1037,3
740,1099,3
749,1114,3
656,961,3
670,989,3
753,1119,2
754,1120,2
764,1133,2
778,1157,2
796,1187,2
839,1253,2
842,1260,2
847,1266,2
848,1267,2
849,1268,2
771,1147,3
770,1146,3
767,1141,3
776,1155,3
777,1156,3
782,1163,3
755,1121,3
790,1174,3
791,1177,3
766,1140,3
797,1188,3
774,1151,3
775,1153,3
798,1189,3
799,1190,3
803,1196,3
807,1201,3
783,1164,3
808,1206,3
817,1221,3
818,1222,3
784,1165,3
819,1223,3
820,1224,3
846,1265,3
756,1122,3
757,1123,3
759,1125,3
768,1142,3
826,1234,3
793,1180,3
794,1183,3
795,1184,3
813,1217,3
814,1218,3
822,1230,3
823,1231,3
824,1232,3
825,1233,3
840,1258,3
841,1259,3
855,1284,3
785,1166,3
786,1167,3
843,1261,3
844,1262,3
845,1263,3
802,1195,3
750,1116,3
751,1117,3
752,1118,3
760,1126,3
772,1149,3
773,1150,3
787,1170,3
816,1220,3
827,1235,3
852,1278,3
812,1216,3
829,1242,3
838,1252,3
837,1251,3
836,1250,3
834,1248,3
833,1247,3
815,1219,3
830,1244,3
831,1245,3
832,1246,3
850,1272,3
792,1179,3
811,1215,3
821,1225,3
828,1240,3
761,1127,3
762,1129,3
763,1132,3
779,1159,3
788,1172,3
789,1173,3
851,1275,3
801,1194,3
804,1198,3
805,1199,3
806,1200,3
853,1279,3
854,1281,3
780,1161,3
781,1162,3
809,1209,3
810,1212,3
865,1298,2
866,1299,2
870,1304,2
943,1432,2
950,1440,2
903,1356,3
879,1317,3
899,1349,3
910,1365,3
892,1336,3
857,1286,3
867,1300,3
858,1287,3
859,1288,3
886,1326,3
887,1327,3
888,1328,3
889,1329,3
900,1353,3
909,1364,3
914,1369,3
915,1370,3
901,1354,3
916,1371,3
902,1355,3
918,1374,3
904,1357,3
905,1358,3
906,1359,3
907,1360,3
908,1362,3
911,1366,3
919,1375,3
921,1384,3
922,1385,3
949,1439,3
877,1314,3
878,1315,3
913,1368,3
893,1339,3
871,1305,3
874,1309,3
875,1311,3
891,1332,3
868,1301,3
955,1445,3
956,1446,3
935,1417,3
936,1418,3
925,1403,3
932,1414,3
954,1444,3
880,1319,3
881,1320,3
882,1321,3
883,1322,3
884,1324,3
885,1325,3
890,1331,3
876,1312,3
942,1427,3
929,1411,3
930,1412,3
938,1421,3
898,1346,3
920,1382,3
945,1434,3
946,1435,3
948,1437,3
952,1442,3
953,1443,3
926,1407,3
927,1408,3
928,1409,3
937,1419,3
939,1422,3
944,1433,3
861,1290,3
862,1291,3
863,1294,3
894,1340,3
895,1341,3
896,1343,3
897,1345,3
912,1367,3
873,1307,3
923,1391,3
933,1415,3
934,1416,3
940,1423,3
941,1424,3
951,1441,3
869,1303,3
957,1448,3
958,1449,3
959,1450,3
960,1451,3
961,1452,3
962,1453,3
963,1454,3
924,1399,3
970,1461,2
977,1473,2
978,1474,2
1004,1539,2
1009,1551,2
1010,1553,2
1030,1624,2
1035,1644,2
1047,1676,2
1100,1803,2
1104,1807,2
1101,1804,3
1103,1806,3
1019,1592,3
1039,1650,3
1038,1649,3
1037,1648,3
992,1502,3
991,1501,3
993,1508,3
995,1514,3
1032,1635,3
1033,1639,3
1008,1549,3
1053,1686,3
1052,1685,3
1056,1689,3
1054,1687,3
1055,1688,3
1029,1623,3
976,1471,3
1011,1559,3
997,1520,3
1013,1562,3
1012,1561,3
1014,1563,3
1062,1702,3
1063,1703,3
999,1531,3
1018,1571,3
969,1460,3
984,1487,3
1003,1538,3
1020,1594,3
1021,1595,3
1023,1605,3
1025,1607,3
1024,1606,3
1026,1610,3
1027,1612,3
1031,1625,3
1041,1664,3
1044,1670,3
1042,1665,3
1043,1668,3
1065,1708,3
1006,1544,3
1040,1653,3
1045,1673,3
1046,1675,3
1050,1679,3
1048,1677,3
1049,1678,3
1051,1681,3
1007,1547,3
1015,1566,3
1016,1567,3
1017,1569,3
1028,1621,3
985,1492,3
986,1493,3
987,1496,3
988,1497,3
989,1498,3
1001,1533,3
996,1517,3
983,1481,3
1000,1532,3
1057,1690,3
1058,1691,3
1059,1693,3
1061,1696,3
1060,1695,3
966,1457,3
967,1458,3
968,1459,3
981,1478,3
979,1475,3
980,1476,3
971,1463,3
1034,1642,3
1064,1707,3
974,1468,3
975,1469,3
972,1466,3
982,1479,3
1036,1645,3
1002,1535,3
964,1455,3
965,1456,3
1022,1596,3
1105,1808,2
1106,1809,2
1107,1818,2
1108,1846,2
1109,1800,2
1110,1817,2
1111,1820,2
1112,1816,2
1113,1810,2
1114,1827,2
1118,1832,2
1120,1835,2
1121,1829,2
1122,1811,2
1123,1821,2
1124,1834,2
1125,1840,2
1126,1836,2
1127,1839,2
1128,1841,2
1129,1823,2
1130,1813,2
1131,1822,2
1132,1812,2
1133,1825,2
1134,1819,2
1135,1815,2
1136,1824,2
1138,1844,2
1139,1801,2
1140,1837,2
1141,1802,2
1142,1838,2
1143,1842,2
1144,1845,2
1145,1833,2
1146,1843,2
1168,141,2
1147,1805,2
1102,1805,3
1148,1804,2
1149,1806,2
1169,143,2
1150,1814,2
1117,1814,3
1151,1828,2
1119,1828,3
1152,1830,2
1116,1830,3
1153,1831,2
1137,1831,3
1154,12,2
8,12,3
1155,75,2
1156,76,2
1157,92,2
1158,104,2
1160,105,2
1159,105,3
1161,108,2
1162,124,2
1163,127,2
1164,134,2
1165,135,2
86,135,3
1166,137,2
1167,138,2
1170,144,2
1171,145,2
1172,146,2
1173,189,2
116,189,3
1174,191,2
1179,194,2
1176,192,2
1177,190,2
1178,196,2
1180,195,2
1181,199,2
1182,200,2
1185,206,2
1183,205,2
131,205,3
1184,193,2
1175,193,3
1186,207,2
1188,208,2
1187,209,2
1189,243,2
1190,256,2
1191,258,2
1192,259,2
1193,260,2
1194,261,2
1195,262,2
1196,265,1
1197,7,2
1247,698,2
1199,266,2
1248,699,2
1200,267,2
1201,268,2
1202,269,2
1249,696,2
1198,17,2
1203,302,3
1205,303,2
1207,304,2
1208,302,2
1204,302,3
1209,19,2
1210,18,2
1206,18,3
1211,305,2
201,305,3
1212,20,2
1213,306,2
1215,351,2
242,351,3
1216,352,2
1217,354,2
1218,353,2
1219,355,2
1214,246,2
1220,356,2
1221,357,2
1261,768,2
1223,245,2
1250,702,2
1224,278,2
1225,279,2
1226,280,2
1227,291,2
1222,358,2
1228,364,2
1229,366,2
1230,367,2
256,367,3
1231,368,2
1232,369,2
1233,371,2
1234,372,2
1235,606,2
442,606,3
1236,607,2
1237,608,2
1238,661,2
1239,665,2
1240,666,2
1241,668,2
1242,683,2
1243,684,2
1244,686,2
1245,695,2
490,695,3
1246,697,2
536,768,3
1251,720,2
1252,721,2
1253,728,2
1254,729,2
1255,753,2
1256,760,2
1257,762,2
1258,763,2
1259,765,2
1260,767,2
1264,769,2
1262,773,2
1265,778,2
1263,774,2
1267,777,2
1268,779,2
1266,424,2
1269,808,2
1270,436,1
1271,431,2
1273,944,2
650,944,3
1274,945,2
1272,429,2
1275,430,2
1276,1015,2
1277,432,2
1278,1016,2
1281,1061,2
1279,1017,2
1280,1042,2
